timestamp,date,hour,day_of_week,price_usd,volume_24h,market_cap,price_change_1h,price_change_6h,price_change_24h,ma_7,ma_14,ma_30,ma_50,price_vs_ma7,price_vs_ma14,price_vs_ma30,momentum_7d,momentum_14d,momentum_30d,volatility_7d,volatility_14d,volatility_30d,rsi,bb_middle,bb_std,bb_upper,bb_lower,bb_position,macd,macd_signal,macd_histogram,volume_ma_7,volume_ratio,volume_change,mcap_change_7d,mcap_change_30d,hour_sin,hour_cos,day_sin,day_cos,ath,atl,days_since_ath,days_since_atl,pct_from_ath,pct_from_atl,phase
2025-06-13T19:00:00,2025-06-13,19,4,3.102074598396679e-05,129225.57797757728,0.0,,,,3.102074598396679e-05,3.102074598396679e-05,3.102074598396679e-05,3.102074598396679e-05,0.0,0.0,0.0,,,,,,,0.0,3.102074598396679e-05,,,,,0.0,0.0,0.0,129225.57797757728,1.0,,,,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,3.102074598396679e-05,3.102074598396679e-05,0,0,0.0,0.0,accumulation
2025-06-14T19:00:00,2025-06-14,19,5,2.979475426777248e-05,99495.98511432238,0.0,-3.9521670975545486,,,3.0407750125869635e-05,3.0407750125869635e-05,3.0407750125869635e-05,3.0407750125869635e-05,-2.015919808468969,-2.015919808468969,-2.015919808468969,,,,,,,0.0,3.0407750125869635e-05,8.669070561995293e-07,3.214156423826869e-05,2.8673936013470577e-05,0.3232233047033631,-9.779990898415935e-08,-1.955998179683187e-08,-7.823992718732748e-08,114360.78154594984,0.8700184081406017,-23.005966255700137,,,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,3.102074598396679e-05,2.979475426777248e-05,1,0,-3.9521670975545486,0.0,accumulation
2025-06-15T19:00:00,2025-06-15,19,6,3.000849480896926e-05,81297.40954446551,0.0,0.7173764189355003,,,3.0274665020236177e-05,3.0274665020236177e-05,3.0274665020236177e-05,3.0274665020236177e-05,-0.8791846617922983,-0.8791846617922983,-0.8791846617922983,,,,3.3018658855557907,3.3018658855557907,3.3018658855557907,14.84585346334434,3.0274665020236177e-05,6.549037013704174e-07,3.1584472422977014e-05,2.8964857617495343e-05,0.3983933780226224,-1.5625871291919405e-07,-4.6899728021304304e-08,-1.0935898489788975e-07,103339.65754545505,0.7867009769091404,-18.29076374181976,,,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,3.102074598396679e-05,2.979475426777248e-05,2,1,-3.263142593413826,0.7173764189355003,accumulation
2025-06-16T19:00:00,2025-06-16,19,0,2.908454469257706e-05,79276.82991039098,0.0,-3.0789618815404207,,,2.99771349383214e-05,2.99771349383214e-05,2.99771349383214e-05,2.99771349383214e-05,-2.9775702300465334,-2.9775702300465334,-2.9775702300465334,,,,2.482582945688117,2.482582945688117,2.482582945688117,9.042693027095225,2.99771349383214e-05,8.000182314314108e-07,3.157717140118422e-05,2.8377098475458578e-05,0.22107190477794014,-2.7398446645035855e-07,-9.231667570711515e-08,-1.816677907432434e-07,97323.95063668904,0.8145665007612763,-2.485416995936851,,,-0.9659258262890684,0.2588190451025203,0.0,1.0,3.102074598396679e-05,2.908454469257706e-05,3,0,-6.241633558362725,0.0,accumulation
2025-06-17T19:00:00,2025-06-17,19,1,2.9472052926094553e-05,148358.41180348262,0.0,1.3323510394040783,,,2.9876118535876027e-05,2.9876118535876027e-05,2.9876118535876027e-05,2.9876118535876027e-05,-1.3524702323571947,-1.3524702323571947,-1.3524702323571947,,,,2.657431653299321,2.657431653299321,2.657431653299321,21.85413010348138,2.9876118535876027e-05,7.287272780553819e-07,3.133357309198679e-05,2.8418663979765265e-05,0.361379688276618,-3.321850756149723e-07,-1.402903556886866e-07,-1.9189471992628572e-07,107530.84287004775,1.3796824040780138,87.13968756214983,,,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,3.102074598396679e-05,2.908454469257706e-05,4,1,-4.9924429885492945,1.3323510394040783,accumulation
2025-06-18T19:00:00,2025-06-18,19,2,2.7114630087016574e-05,136579.81316385927,0.0,-7.9988416313907855,,,2.941587046106612e-05,2.941587046106612e-05,2.941587046106612e-05,2.941587046106612e-05,-7.823125197316161,-7.823125197316161,-7.823125197316161,,,,3.797154995517051,3.797154995517051,3.797154995517051,11.769314335976375,2.941587046106612e-05,1.302230585888295e-06,3.202033163284271e-05,2.681140928928953e-05,0.058211809992200034,-5.620547813471449e-07,-2.2464324082037828e-07,-3.374115405267666e-07,112372.33791901635,1.2154220130428235,-7.939286014483238,,,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,3.102074598396679e-05,2.7114630087016574e-05,5,0,-12.59194701174855,0.0,accumulation
2025-06-19T19:00:00,2025-06-19,19,3,2.4804749346532807e-05,118333.33586272762,0.0,-8.518946166961793,-20.03819199140713,,2.8757138873275648e-05,2.8757138873275648e-05,2.8757138873275648e-05,2.8757138873275648e-05,-13.744029071041709,-13.744029071041709,-13.744029071041709,,,,4.1691119821085785,4.1691119821085785,4.1691119821085785,8.104727988855586,2.8757138873275648e-05,2.1096591072864156e-06,3.297645708784848e-05,2.4537820658702817e-05,0.03163173222015614,-9.200109371434516e-07,-3.63716780084993e-07,-5.562941570584587e-07,113223.90905383225,1.045126747977462,-13.359571138994575,,,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,3.102074598396679e-05,2.4804749346532807e-05,6,0,-20.03819199140713,0.0,accumulation
2025-06-20T19:00:00,2025-06-20,19,4,2.4758388478616794e-05,126089.99638266754,0.0,-0.18690319046700266,-16.903531889851074,,2.786251637251136e-05,2.825729507394329e-05,2.825729507394329e-05,2.825729507394329e-05,-11.14087418520835,-12.382312553875408,-12.382312553875408,,,,4.016517191658685,4.016517191658685,4.016517191658685,8.05439315702975,2.825729507394329e-05,2.4111415027112126e-06,3.3079578079365714e-05,2.3435012068520867e-05,0.13721471848581412,-1.1936747644855011e-06,-5.297083769650946e-07,-6.639663875204065e-07,112775.96882598799,1.1180573103940517,6.554924242935245,,,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,3.102074598396679e-05,2.4758388478616794e-05,7,0,-20.187643161730296,0.0,accumulation
2025-06-21T19:00:00,2025-06-21,19,5,2.3524587459960205e-05,103475.34537732134,0.0,-4.983365616555346,-21.606906278655057,,2.696677825710961e-05,2.7731438672389615e-05,2.7731438672389615e-05,2.7731438672389615e-05,-12.764560765585319,-15.169971028650231,-15.169971028650231,,,,3.7778432352614795,3.7778432352614795,3.7778432352614795,6.911973178827353,2.7731438672389615e-05,2.7523857875176683e-06,3.323621024742495e-05,2.222666709735428e-05,0.11789048327564747,-1.492903488085235e-06,-7.223473991891227e-07,-7.705560888961122e-07,113344.44886355927,0.9129282149660627,-17.935325286800328,,,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,3.102074598396679e-05,2.3524587459960205e-05,8,0,-24.164984710171076,0.0,accumulation
2025-06-22T19:00:00,2025-06-22,19,6,2.4201843127804854e-05,146834.84459909695,0.0,2.878926863212228,-16.787959434752185,,2.6137256588371837e-05,2.7378479117931135e-05,2.7378479117931135e-05,2.7378479117931135e-05,-7.404807210822673,-11.602675139269481,-11.602675139269481,,,,4.095923391107285,4.095923391107285,4.095923391107285,13.636054581550596,2.7378479117931135e-05,2.8248355001103134e-06,3.3028150118151765e-05,2.1728808117710508e-05,0.21886540030364338,-1.6563027084212318e-06,-9.091384610355445e-07,-7.471642473856873e-07,122706.93958564948,1.1966303217643708,41.903217683077855,,,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,3.102074598396679e-05,2.3524587459960205e-05,9,1,-21.981750083271102,2.878926863212228,accumulation
